,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,thank u^ next,Ariana Grande,6320840,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
2,Taki Taki (with Selena Gomez^ Ozuna & Cardi B),DJ Snake,4134398,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
3,whoa (mind in awe),XXXTENTACION,3566723,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa
4,BAD!,XXXTENTACION,3476620,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ
5,All I Want for Christmas Is You,Mariah Carey,3325883,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
6,Guardian angel,XXXTENTACION,3297276,https://open.spotify.com/track/7uqcLJFlSYjVPLUz1vPxkY
7,Without Me,Halsey,3227808,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
8,MIA (feat. Drake),Bad Bunny,3217650,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
9,SICKO MODE,Travis Scott,2842120,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
10,Happier,Marshmello,2836603,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
11,One Minute (feat. Kanye West),XXXTENTACION,2764133,https://open.spotify.com/track/0T6RSXxFhW8dRTWHI604ld
12,Train food,XXXTENTACION,2757463,https://open.spotify.com/track/5lar0mCUejpILVkAz50s2J
13,ZEZE (feat. Travis Scott & Offset),Kodak Black,2690982,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
14,I don’t let go,XXXTENTACION,2617820,https://open.spotify.com/track/4axYWgXASdsCBHuwInAubT
15,Last Christmas,Wham!,2608582,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
16,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2488483,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
17,Going Bad (feat. Drake),Meek Mill,2478287,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
18,Adan y Eva,Paulo Londra,2454567,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
19,STARING AT THE SKY,XXXTENTACION,2360561,https://open.spotify.com/track/4KpKyRFwN0gcwj58Uqjv7q
20,Shallow,Lady Gaga,2356877,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
21,what are you so afraid of,XXXTENTACION,2314446,https://open.spotify.com/track/57nOpVSc3j9o03Cr928ZM4
22,Sweet but Psycho,Ava Max,2313528,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
23,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,2274844,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
24,Mo Bamba,Sheck Wes,2240502,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
